[2026-08-15 08:25:30,070] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (450844K) : backmetal1_nofill has 0 polygons
[2026-08-15 08:25:30,070] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (450972K) : backmetal1_slit has 0 polygons
[2026-08-15 08:25:30,071] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (450972K) : backmetal1_text has 0 polygons
[2026-08-15 08:25:30,072] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451100K) : backmetal1_OPC has 0 polygons
[2026-08-15 08:25:30,072] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451228K) : backmetal1_noqrc has 0 polygons
[2026-08-15 08:25:30,073] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451228K) : backmetal1_res has 0 polygons
[2026-08-15 08:25:30,074] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451356K) : backmetal1_iprobe has 0 polygons
[2026-08-15 08:25:30,074] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451356K) : backmetal1_diffprb has 0 polygons
[2026-08-15 08:25:30,075] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451484K) : backpassiv_drw has 0 polygons
[2026-08-15 08:25:30,076] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451484K) : res_drw has 0 polygons
[2026-08-15 08:25:30,076] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451612K) : sram_drw has 0 polygons
[2026-08-15 08:25:30,122] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451740K) : trans_drw has 0 polygons
[2026-08-15 08:25:30,123] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451868K) : ind_drw has 0 polygons
[2026-08-15 08:25:30,124] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451868K) : ind_pin has 0 polygons
[2026-08-15 08:25:30,125] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451996K) : ind_text has 0 polygons
[2026-08-15 08:25:30,125] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (451996K) : salblock_drw has 0 polygons
[2026-08-15 08:25:30,126] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452124K) : via2_drw has 32 polygons
[2026-08-15 08:25:30,126] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452252K) : metal3_drw has 46 polygons
[2026-08-15 08:25:30,127] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452252K) : metal3_filler has 0 polygons
[2026-08-15 08:25:30,128] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452380K) : metal3_slit has 0 polygons
[2026-08-15 08:25:30,128] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452508K) : metal3 has 46 polygons
[2026-08-15 08:25:30,129] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452636K) : metal3_pin has 3 polygons
[2026-08-15 08:25:30,129] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452636K) : metal3_mask has 0 polygons
[2026-08-15 08:25:30,130] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452764K) : metal3_nofill has 0 polygons
[2026-08-15 08:25:30,130] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452764K) : metal3_text has 3 polygons
[2026-08-15 08:25:30,131] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452892K) : metal3_OPC has 0 polygons
[2026-08-15 08:25:30,131] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (452892K) : metal3_noqrc has 0 polygons
[2026-08-15 08:25:30,132] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453020K) : metal3_res has 0 polygons
[2026-08-15 08:25:30,133] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453148K) : metal3_iprobe has 0 polygons
[2026-08-15 08:25:30,133] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453148K) : metal3_diffprb has 0 polygons
[2026-08-15 08:25:30,134] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453276K) : nwell_drw has 6 polygons
[2026-08-15 08:25:30,134] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453404K) : nwell_pin has 0 polygons
[2026-08-15 08:25:30,135] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453404K) : nwell_text has 0 polygons
[2026-08-15 08:25:30,135] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453532K) : nbulay_drw has 0 polygons
[2026-08-15 08:25:30,136] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453532K) : nbulay_pin has 0 polygons
[2026-08-15 08:25:30,137] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453660K) : nbulay_block has 0 polygons
[2026-08-15 08:25:30,137] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453788K) : emwind_drw has 0 polygons
[2026-08-15 08:25:30,138] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453788K) : emwind_OPC has 0 polygons
[2026-08-15 08:25:30,138] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453916K) : deepco_drw has 0 polygons
[2026-08-15 08:25:30,139] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (453916K) : mim_drw has 0 polygons
[2026-08-15 08:25:30,139] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454044K) : edgeseal_drw has 0 polygons
[2026-08-15 08:25:30,140] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454044K) : substrate_drw has 0 polygons
