16-Aug-2026 09:01:32 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
16-Aug-2026 09:01:32 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
16-Aug-2026 09:01:32 | INFO    | Running IHP-SG13G2 main checks on design /foss/designs/sar-adc/layout/oa_sar8_acore13.gds, topcell: oa_sar8_acore13
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : substrate_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : substrate_text has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : dfpad_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : dfpad_pillar has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : dfpad_sbump has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : thickgateox_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : pldb_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : pwell_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : pwell_pin has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : pwell_block has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : ic_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : via3_drw has 248 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_drw has 151 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_pin has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_mask has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_filler has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_nofill has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_slit has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_text has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_opc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_noqrc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_res has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_iprobe has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal4_diffprb has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : heattrans_drw has 0 polygons
