15-Aug-2026 23:21:57 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
15-Aug-2026 23:21:57 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
15-Aug-2026 23:21:57 | INFO    | Running IHP-SG13G2 main checks on design /foss/designs/sar-adc/layout/sw/sw_bitcell11.gds, topcell: sw_bitcell11
2026-08-15 23:21:59 +0200: Memory Usage (456420K) : topmetal1_iprobe has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456420K) : topmetal1_diffprb has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456548K) : inldpwl_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456548K) : polyres_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456548K) : polyres_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456676K) : vmim_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456676K) : nbulaycut_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456804K) : antmetal1_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456804K) : topvia2_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456932K) : topmetal2_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456932K) : topmetal2_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (456932K) : topmetal2_mask has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457060K) : topmetal2_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457060K) : topmetal2_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457188K) : topmetal2_slit has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457188K) : topmetal2_text has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457188K) : topmetal2_noqrc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457316K) : topmetal2_res has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457316K) : topmetal2_iprobe has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457444K) : topmetal2_diffprb has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457444K) : snsring_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457572K) : sensor_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457572K) : snsarms_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457572K) : snscmosvia_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457700K) : colwind_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457700K) : flm_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457828K) : hafniumox_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457828K) : memvia_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457828K) : thinfilmres_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457956K) : rfmem_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (457956K) : norcx_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458084K) : norcx_m2m3 has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458084K) : norcx_m2m4 has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458212K) : norcx_m2m5 has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458212K) : norcx_m2tm1 has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458212K) : norcx_m2tm2 has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458340K) : norcx_m3m4 has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458340K) : norcx_m3m5 has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458468K) : norcx_m3tm1 has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458468K) : norcx_m3tm2 has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458468K) : norcx_m4m5 has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (458596K) : norcx_m4tm1 has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (458596K) : norcx_m4tm2 has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (458724K) : norcx_m5tm1 has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (458724K) : norcx_m5tm2 has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (458852K) : norcx_tm1tm2 has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (458852K) : norcx_m1sub has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (458852K) : norcx_m2sub has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (458980K) : norcx_m3sub has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (458980K) : norcx_m4sub has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (459108K) : norcx_m5sub has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (459108K) : norcx_tm1sub has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (459236K) : norcx_tm2sub has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (459236K) : snsbotvia_drw has 0 polygons
2026-08-15 23:22:00 +0200: Memory Usage (459236K) : snstopvia_drw has 0 polygons
